TimeStamp,Value
20211009045357,67.8631186485
20211009045358,69.0979599953
20211009045359,69.9361801147
20211009045400,65.7532572746
20211009045401,68.7054276466
20211009045402,70.7416892052
20211009045403,71.620798111
20211009045404,71.2078213692
20211009045405,67.4337863922
20211009045406,69.523203373
20211009045407,68.2760953903
20211009045408,67.4828529358
20211009045409,66.5424108505
20211009045410,68.7054276466
20211009045411,67.8263187408
20211009045412,68.2556509972
20211009045413,67.8263187408
20211009045414,69.1143155098
20211009045415,67.8304076195
20211009045416,66.6119217873
20211009045417,69.9402689934
20211009045418,65.3443694115
20211009045419,71.2241768837
20211009045420,67.846763134
20211009045421,69.1143155098
20211009045422,68.2229399681
20211009045423,67.4337863922
20211009045424,66.9880986214
20211009045425,71.154665947
20211009045426,67.4337863922
20211009045427,66.5914773941
20211009045428,68.2556509972
20211009045429,71.6003537178
20211009045430,70.3491568565
20211009045431,70.7948446274
20211009045432,67.4664974213
20211009045433,68.2760953903
20211009045434,67.8794741631
20211009045435,67.0248985291
20211009045436,66.9717431068
20211009045437,67.0371651649
20211009045438,69.9361801147
20211009045439,65.3075695038
20211009045440,66.5955662727
20211009045441,69.523203373
20211009045442,69.5436477661
20211009045443,69.5436477661
20211009045444,68.701338768
20211009045445,68.2720065117
20211009045446,69.5068478584
20211009045447,69.4904923439
20211009045448,66.1825895309
20211009045449,68.2883620262
20211009045450,67.0044541359
20211009045451,67.8631186485
20211009045452,66.9880986214
20211009045453,71.6044425964
20211009045454,67.4010753632
20211009045455,69.0611600876
20211009045456,66.1825895309
20211009045457,68.2556509972
20211009045458,67.4133419991
20211009045459,67.8590297699
20211009045500,70.3164458275
20211009045501,114.153313637
20211009045502,129.825985432
20211009045503,129.433453083
20211009045504,131.109893322
20211009045505,131.163048744
20211009045506,130.66829443
20211009045507,129.89140749
20211009045508,112.591362
20211009045509,129.29443121
20211009045510,111.646831036
20211009045512,109.414303303
20211009045513,111.507809162
20211009045514,109.81092453
20211009045515,113.241493702
20211009045516,111.115276814
20211009045517,111.131632328
20211009045518,111.131632328
20211009045519,111.062121391
20211009045520,82.0269942284
20211009045521,113.208782673
20211009045522,112.382829189
20211009045523,112.35011816
20211009045524,111.524164677
20211009045525,111.09483242
20211009045526,112.763094902
20211009045527,113.171982765
20211009045528,115.694820881
20211009045529,111.937141418
20211009045530,111.953496933
20211009045531,129.809629917
20211009045532,113.176071644
20211009045533,128.472566605
20211009045534,111.957585812
20211009045535,109.794569016
20211009045536,110.669589043
20211009045537,129.363942146
20211009045538,110.636878014
20211009045539,110.685944557
20211009045540,112.333762646
20211009045541,129.805541039
20211009045542,111.540520191
20211009045543,112.366473675
20211009045544,111.098921299
20211009045545,114.476335049
20211009045546,110.277056694
20211009045547,111.953496933
20211009045548,111.941230297
20211009045549,111.528253555
20211009045550,113.617670536
20211009045551,110.293412209
20211009045552,112.812161446
20211009045553,113.208782673
20211009045554,110.653233528
20211009045555,109.778213501
20211009045556,110.685944557
20211009045557,110.256612301
20211009045558,112.779450417
20211009045559,113.18833828
20211009045600,111.495542526
20211009045601,111.54460907
20211009045602,111.953496933
20211009045603,112.35011816
20211009045604,113.617670536
20211009045605,109.381592274
20211009045606,113.99384737
20211009045607,112.795805931
20211009045608,112.726294994
20211009045609,129.359853268
20211009045610,111.062121391
20211009045611,111.937141418
20211009045612,111.888074875
20211009045613,112.35011816
20211009045614,112.317407131
20211009045615,109.794569016
20211009045616,111.888074875
20211009045617,115.711176395
20211009045618,110.223901272
20211009045619,111.920785904
20211009045620,115.216422081
20211009045621,110.61643362
20211009045622,110.395634174
20211009045623,114.030647278
20211009045624,110.669589043
20211009045625,111.937141418
20211009045626,113.106560707
20211009045627,112.333762646
20211009045628,111.029410362
20211009045629,112.35011816
20211009045630,111.045765877
20211009045631,114.030647278
20211009045632,111.45465374
20211009045633,112.35011816
20211009045634,113.601315022
20211009045635,114.856600761
20211009045636,109.778213501
20211009045637,114.44362402
20211009045638,111.937141418
20211009045639,111.87171936
20211009045640,114.010202885
20211009045641,114.44362402
20211009045642,112.366473675
20211009045643,128.865098953
20211009045644,110.604166985
20211009045645,110.632789135
20211009045646,114.868867397
20211009045647,111.507809162
